NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
C10orf82	1	ENSG00000165863	
EMSLR	1	ENSG00000232445	
GMEB1	1	ENSG00000162419	
GMEB2	1	ENSG00000101216	
YJEFN3	1	ENSG00000250067	
ARPC1B	1	ENSG00000130429	
ARPC1A	1	ENSG00000241685	
TIMP2	1	ENSG00000035862	
TIMP3	1	ENSG00000100234	
TIMP1	1	ENSG00000102265	
TEAD1	1	ENSG00000187079	
RASA4CP	1	ENSG00000228903	
GLYCTK-AS1	1	ENSG00000242797	
TEAD3	1	ENSG00000007866	
TEAD4	1	ENSG00000197905	
SHPRH	1	ENSG00000146414	
NUTF2	1	ENSG00000102898	
GCHFR	1	ENSG00000137880	
TMSB15B	2	ENSG00000158427:ENSG00000269226	
C10orf67	1	ENSG00000179133	
RASA4DP	1	ENSG00000233297	
CACTIN	1	ENSG00000105298	
MGLL	1	ENSG00000074416	
SOCS2-AS1	1	ENSG00000246985	
GRN	1	ENSG00000030582	
SGMS1	1	ENSG00000198964	
TIMM9	1	ENSG00000100575	
SGMS2	1	ENSG00000164023	
ATP2C2-AS1	1	ENSG00000261286	
APOLD1	1	ENSG00000178878	
AC120049.1	1	ENSG00000267414	
SCAF8	1	ENSG00000213079	
GPNMB	1	ENSG00000136235	
GSC	1	ENSG00000133937	
TP53TG1	1	ENSG00000182165	
ATP5MF-PTCD1	1	ENSG00000248919	
LDLR	1	ENSG00000130164	
GSN	1	ENSG00000148180	
DMTN	1	ENSG00000158856	
C10orf91	1	ENSG00000180066	
MGMT	1	ENSG00000170430	
GSS	1	ENSG00000100983	
GSR	1	ENSG00000104687	
C10orf95	1	ENSG00000120055	
SLC8B1	1	ENSG00000089060	
SCAF1	1	ENSG00000126461	
SCAF4	1	ENSG00000156304	
SLC8A3	1	ENSG00000100678	
ADM5	1	ENSG00000224420	
ADM2	1	ENSG00000128165	
C10orf88	1	ENSG00000119965	
KLKB1	1	ENSG00000164344	
ANKRD13C	1	ENSG00000118454	
RAB3B	1	ENSG00000169213	
ANKRD13B	1	ENSG00000198720	
RAB3A	1	ENSG00000105649	
ANKRD13D	1	ENSG00000172932	
RAB3D	1	ENSG00000105514	
AC078785.1	1	ENSG00000240057	
SYAP1	1	ENSG00000169895	
IL5RA	1	ENSG00000091181	
RPL10A	1	ENSG00000198755	
SLC8A1	1	ENSG00000183023	
RAB43	1	ENSG00000172780	
IGHG3	1	ENSG00000211897	
IGHG4	1	ENSG00000211892	
IGHG1	1	ENSG00000211896	
RAB42	1	ENSG00000188060	
IGHG2	1	ENSG00000211893	
SLC39A9	1	ENSG00000029364	
SLC39A6	1	ENSG00000141424	
SLC39A5	1	ENSG00000139540	
SLC39A8	1	ENSG00000138821	
SLC39A7	1	ENSG00000112473	
RPL21P119	1	ENSG00000220793	
SLC39A2	1	ENSG00000165794	
SLC39A1	1	ENSG00000143570	
ANKRD13A	1	ENSG00000076513	
SLC39A4	1	ENSG00000147804	
SLC39A3	1	ENSG00000141873	
RAB2A	1	ENSG00000104388	
TRGV3	1	ENSG00000211699	
RAB2B	1	ENSG00000129472	
TRGV4	1	ENSG00000211698	
TRGV2	1	ENSG00000233306	
CHMP4BP1	1	ENSG00000258469	
TTC21A	1	ENSG00000168026	
TRGV9	1	ENSG00000211695	
TRGV7	1	ENSG00000249978	
TRGV8	1	ENSG00000211696	
TRGV5	1	ENSG00000211697	
TRGV6	1	ENSG00000226212	
RAB32	1	ENSG00000118508	
LBHD1	1	ENSG00000162194	
RAB30	1	ENSG00000137502	
TRGVA	1	ENSG00000225992	
RAB31	1	ENSG00000168461	
TRGVB	1	ENSG00000231202	
RAB36	1	ENSG00000100228	
RAB37	1	ENSG00000172794	
RAB34	1	ENSG00000109113	
DMWD	1	ENSG00000185800	
MYLK-AS1	1	ENSG00000239523	
RAB35	1	ENSG00000111737	
AAGAB	1	ENSG00000103591	
RAB38	1	ENSG00000123892	
ADNP	1	ENSG00000101126	
BRSK1	1	ENSG00000160469	
RAB5B	1	ENSG00000111540	
SLC26A2	1	ENSG00000155850	
BRSK2	1	ENSG00000174672	
RAB5C	1	ENSG00000108774	
SLC26A1	1	ENSG00000145217	
KLHL6-AS1	1	ENSG00000242522	
IGHV4-59	1	ENSG00000224373	
HSPBP1	1	ENSG00000133265	
TTC21B	1	ENSG00000123607	
METTL15P1	1	ENSG00000174912	
MROCKI	1	ENSG00000227502	
SRGAP3	1	ENSG00000196220	
RAB6A	1	ENSG00000175582	
SRGAP2	1	ENSG00000266028	
RAB6B	1	ENSG00000154917	
SRGAP1	1	ENSG00000196935	
NIFK-AS1	1	ENSG00000236859	
AP1M1	1	ENSG00000072958	
ZNF84-DT	1	ENSG00000246394	
IGHV4-61	1	ENSG00000211970	
RAB4A	1	ENSG00000168118	
RAB4B	1	ENSG00000167578	
YJU2	1	ENSG00000105248	
SAP30L-AS1	1	ENSG00000245275	
SLC7A6OS	1	ENSG00000103061	
P4HA1	1	ENSG00000122884	
P4HA2	1	ENSG00000072682	
IGHGP	1	ENSG00000253755	
SLC26A8	1	ENSG00000112053	
RPL21P107	1	ENSG00000225239	
CSPG5	1	ENSG00000114646	
SLC26A7	1	ENSG00000147606	
SLC26A9	1	ENSG00000174502	
SLC26A4	1	ENSG00000091137	
RAB5A	1	ENSG00000144566	
SLC26A6	1	ENSG00000225697	
SLC26A5	1	ENSG00000170615	
WDR1	1	ENSG00000071127	
ADPGK	1	ENSG00000159322	
WDR3	1	ENSG00000065183	
WDR4	1	ENSG00000160193	
IGHV4-34	1	ENSG00000211956	
IGHV4-39	1	ENSG00000211959	
FTCD	1	ENSG00000160282	
H1-10	1	ENSG00000184897	
CCT8P1	1	ENSG00000226015	
AP1G2	1	ENSG00000213983	
AP1G1	1	ENSG00000166747	
WDR5	1	ENSG00000196363	
WDR6	1	ENSG00000178252	
WDR7	1	ENSG00000091157	
TTC23L	1	ENSG00000205838	
SLC13A1	1	ENSG00000081800	
SLC13A3	1	ENSG00000158296	
ADSL	1	ENSG00000239900	
SLC13A4	1	ENSG00000164707	
CHPF2	1	ENSG00000033100	
RPL13A	1	ENSG00000142541	
TFDP1	1	ENSG00000198176	
ZMIZ1-AS1	1	ENSG00000224596	
TFDP2	1	ENSG00000114126	
AOPEP	1	ENSG00000148120	
TBC1D22A-AS1	1	ENSG00000280080	
RAB1A	1	ENSG00000138069	
RAB1B	1	ENSG00000174903	
HERC2P3	1	ENSG00000180229	
FRG1-DT	1	ENSG00000245685	
HERC2P2	1	ENSG00000276550	
ARPC4-TTLL3	1	ENSG00000250151	
HERC2P5	1	ENSG00000260644	
HERC2P4	1	ENSG00000230267	
HERC2P9	1	ENSG00000206149	
HERC2P8	1	ENSG00000261599	
FBXL22	1	ENSG00000197361	
RAB21	1	ENSG00000080371	
FBXL20	1	ENSG00000108306	
RAB20	1	ENSG00000139832	
MSTO1	1	ENSG00000125459	
RAB25	1	ENSG00000132698	
RAB26	1	ENSG00000167964	
RAB23	1	ENSG00000112210	
RAB24	1	ENSG00000169228	
RAB29	1	ENSG00000117280	
RAB28	1	ENSG00000157869	
SLC13A5	1	ENSG00000141485	
RNGTT	1	ENSG00000111880	
FBXL19	1	ENSG00000099364	
FBXL17	1	ENSG00000145743	
FBXL18	1	ENSG00000155034	
SYNGAP1-AS1	1	ENSG00000274259	
FBXL15	1	ENSG00000107872	
FBXL16	1	ENSG00000127585	
FBXL13	1	ENSG00000161040	
FBXL14	1	ENSG00000171823	
CACNA2D1-AS1	1	ENSG00000223770	
FBXL12	1	ENSG00000127452	
TNRC6C	1	ENSG00000078687	
RAB10	1	ENSG00000084733	
VAPA	1	ENSG00000101558	
RAB14	1	ENSG00000119396	
VAPB	1	ENSG00000124164	
PSAT1	1	ENSG00000135069	
RAB15	1	ENSG00000139998	
RAB12	1	ENSG00000206418	
RAB13	1	ENSG00000143545	
AC127496.7	1	ENSG00000280351	
RAB18	1	ENSG00000099246	
RAB19	1	ENSG00000146955	
TNRC6A	1	ENSG00000090905	
TNRC6B	1	ENSG00000100354	
PANK4	1	ENSG00000157881	
PANK2	1	ENSG00000125779	
TRAF3IP3	1	ENSG00000009790	
PANK3	1	ENSG00000120137	
TRAF3IP2	1	ENSG00000056972	
PANK1	1	ENSG00000152782	
CALML6	1	ENSG00000169885	
TRAF3IP1	1	ENSG00000204104	
MIR548XHG	1	ENSG00000224141	
CISD1	1	ENSG00000122873	
CISD2	1	ENSG00000145354	
PPP2R2A	1	ENSG00000221914	
MIR663A	1	ENSG00000284419	
CALML4	1	ENSG00000129007	
MIR663B	1	ENSG00000221288	
CISD3	1	ENSG00000277972	
ZNF204P	1	ENSG00000204789	
RPL18A	1	ENSG00000105640	
PPP2R1B	1	ENSG00000137713	
KAT5	1	ENSG00000172977	
PPP2R1A	1	ENSG00000105568	
FTH1	1	ENSG00000167996	
LONP1	1	ENSG00000196365	
LONP2	1	ENSG00000102910	
KAT8	1	ENSG00000103510	
KAT7	1	ENSG00000136504	
SEPHS1	1	ENSG00000086475	
SEPHS2	1	ENSG00000179918	
ICOSLG	1	ENSG00000160223	
TKTL1	1	ENSG00000007350	
ATP6V0E1	1	ENSG00000113732	
ESCO1	1	ENSG00000141446	
XXYLT1-AS2	1	ENSG00000230266	
TINF2	1	ENSG00000092330	
AP1B1	1	ENSG00000100280	
AP1AR	1	ENSG00000138660	
GPR37L1	1	ENSG00000170075	
ESCO2	1	ENSG00000171320	
MAPK8IP2	1	ENSG00000008735	
MAPK8IP3	1	ENSG00000138834	
MAPK8IP1	1	ENSG00000121653	
LUCAT1	1	ENSG00000248323	
DNA2	1	ENSG00000138346	
ATP6V0D1	1	ENSG00000159720	
ATP6V0D2	1	ENSG00000147614	
IGLV10-54	1	ENSG00000211642	
TWIST1	1	ENSG00000122691	
MYL12A	1	ENSG00000101608	
MYL12B	1	ENSG00000118680	
SLC2A3P2	1	ENSG00000185031	
SLC2A3P1	1	ENSG00000253861	
DND1	1	ENSG00000256453	
ATP6V0A2	1	ENSG00000185344	
TNRC18	1	ENSG00000182095	
ATP6V0A1	1	ENSG00000033627	
VAT1	1	ENSG00000108828	
VASP	1	ENSG00000125753	
USP32P2	1	ENSG00000233327	
FUT8-AS1	1	ENSG00000276116	
USP32P1	1	ENSG00000188933	
USP32P3	1	ENSG00000189423	
TINCR	1	ENSG00000223573	
VASN	1	ENSG00000168140	
HAL	1	ENSG00000084110	
FUBP3	1	ENSG00000107164	
FUBP1	1	ENSG00000162613	
PANO1	1	ENSG00000274897	
CYCSP34	1	ENSG00000176268	
CYP2B7P	1	ENSG00000256612	
COL18A1	1	ENSG00000182871	
ZFAS1	1	ENSG00000177410	
ZFAND2A	1	ENSG00000178381	
BASP1-AS1	1	ENSG00000215196	
ZFAND2B	1	ENSG00000158552	
NKAP	1	ENSG00000101882	
HBB	1	ENSG00000244734	
LUNAR1	1	ENSG00000278090	
RALGPS1	1	ENSG00000136828	
GABPA	1	ENSG00000154727	
RAB8A	1	ENSG00000167461	
RALGPS2	1	ENSG00000116191	
RAB8B	1	ENSG00000166128	
VAV3	1	ENSG00000134215	
RN7SL526P	1	ENSG00000243642	
GPBAR1	1	ENSG00000179921	
GFRA3	1	ENSG00000146013	
RENBP	1	ENSG00000102032	
GFRA2	1	ENSG00000168546	
VAV1	1	ENSG00000141968	
VAV2	1	ENSG00000160293	
NAP1L1P1	1	ENSG00000254759	
HCK	1	ENSG00000101336	
CDCP1	1	ENSG00000163814	
CNEP1R1	1	ENSG00000205423	
GFRAL	1	ENSG00000187871	
RAB7B	1	ENSG00000276600	
RAB7A	1	ENSG00000075785	
SCAT1	1	ENSG00000267123	
RPL21P134	1	ENSG00000233254	
RN7SL525P	1	ENSG00000264910	
HDC	1	ENSG00000140287	
ZNF2	1	ENSG00000275111	
ZNF3	1	ENSG00000166526	
ZNF8	1	ENSG00000278129	
NKD1	1	ENSG00000140807	
NKD2	1	ENSG00000145506	
ZNF7	1	ENSG00000147789	
PSMC3IP	1	ENSG00000131470	
DUOX1	1	ENSG00000137857	
UBTD2	1	ENSG00000168246	
UBTD1	1	ENSG00000165886	
SPTSSA	1	ENSG00000165389	
KANSL1L	1	ENSG00000144445	
ATP6V0E2	1	ENSG00000171130	
HDX	1	ENSG00000165259	
GABRD	1	ENSG00000187730	
EXOSC3P1	1	ENSG00000229007	
RPL21P135	1	ENSG00000235482	
DUOX2	1	ENSG00000140279	
SH3BGR	1	ENSG00000185437	
GABRP	1	ENSG00000094755	
ATP5PF	1	ENSG00000154723	
MYEF2	1	ENSG00000104177	
ATP5PD	1	ENSG00000167863	
RN7SL657P	1	ENSG00000264293	
ATP5PB	1	ENSG00000116459	
RN7SL524P	1	ENSG00000266754	
PLAC8L1	1	ENSG00000173261	
RAB11A	1	ENSG00000103769	
FBXW4P1	1	ENSG00000230701	
RAB11B	1	ENSG00000185236	
CAPZA1	1	ENSG00000116489	
CAPZA2	1	ENSG00000198898	
SMC2-AS1	1	ENSG00000270332	
ATP5PO	1	ENSG00000241837	
RAB9A	1	ENSG00000123595	
RAB9B	1	ENSG00000123570	
ALG1L	1	ENSG00000189366	
ITPRIP	1	ENSG00000148841	
HFE	1	ENSG00000010704	
RPS27AP16	1	ENSG00000224631	
FAIM2	1	ENSG00000135472	
RPS27AP12	1	ENSG00000225224	
RPS27AP11	1	ENSG00000218208	
VASH1-AS1	1	ENSG00000258301	
TRAPPC12	1	ENSG00000171853	
TRAPPC11	1	ENSG00000168538	
TRAPPC13	1	ENSG00000113597	
NANOS1	1	ENSG00000188613	
AC093012.1	1	ENSG00000198001	
SZT2	1	ENSG00000198198	
TRAPPC2L	1	ENSG00000167515	
HGD	1	ENSG00000113924	
NANOS3	1	ENSG00000187556	
ALG14	1	ENSG00000172339	
SPDYE16	1	ENSG00000185040	
ALG13	1	ENSG00000101901	
KAZN	1	ENSG00000189337	
TRAPPC2B	1	ENSG00000256060	
ALG12	1	ENSG00000182858	
SPDYE18	1	ENSG00000205482	
ALG11	1	ENSG00000253710	
ALG10	1	ENSG00000139133	
HGS	1	ENSG00000185359	
RPS17P2	1	ENSG00000197575	
FBLN7	1	ENSG00000144152	
ATP5MD	1	ENSG00000173915	
FBLN1	1	ENSG00000077942	
TRHDE	1	ENSG00000072657	
FBLN2	1	ENSG00000163520	
FBLN5	1	ENSG00000140092	
SCUBE3	1	ENSG00000146197	
SCUBE1	1	ENSG00000159307	
UAP1L1	1	ENSG00000197355	
A2M-AS1	1	ENSG00000245105	
RPRD1B	1	ENSG00000101413	
RPRD1A	1	ENSG00000141425	
ATP5MG	1	ENSG00000167283	
ATP5MF	1	ENSG00000241468	
ATP5ME	1	ENSG00000169020	
TCEA1P4	1	ENSG00000236184	
TRBV21-1	1	ENSG00000251578	
TCEA1P2	1	ENSG00000230409	
RHBDD3	1	ENSG00000100263	
HAND2-AS1	1	ENSG00000237125	
RHBDD2	1	ENSG00000005486	
RHBDD1	1	ENSG00000144468	
NKG7	1	ENSG00000105374	
CRLS1	1	ENSG00000088766	
SEPSECS	1	ENSG00000109618	
SPDYE2B	1	ENSG00000173678	
SOWAHC	1	ENSG00000198142	
SOWAHD	1	ENSG00000187808	
HAPLN3	1	ENSG00000140511	
FBLL1	1	ENSG00000188573	
HK2	1	ENSG00000159399	
HK1	1	ENSG00000156515	
HK3	1	ENSG00000160883	
PPP2R5E	1	ENSG00000154001	
MCF2L	1	ENSG00000126217	
RN7SL785P	1	ENSG00000266158	
RAD23BP1	1	ENSG00000236570	
RHBDF1	1	ENSG00000007384	
TMPRSS11B	1	ENSG00000185873	
MYEOV	1	ENSG00000172927	
RHBDF2	1	ENSG00000129667	
PPP2R5B	1	ENSG00000068971	
AXIN1	1	ENSG00000103126	
PPP2R5A	1	ENSG00000066027	
PPP2R5D	1	ENSG00000112640	
PPP2R5C	1	ENSG00000078304	
AXIN2	1	ENSG00000168646	
TMPRSS11E	1	ENSG00000087128	
DNM1	1	ENSG00000106976	
DNM2	1	ENSG00000079805	
DNM3	1	ENSG00000197959	
CETN4P	1	ENSG00000224786	
TRAPPC6A	1	ENSG00000007255	
TRAPPC6B	1	ENSG00000182400	
MIA-RAB4B	1	ENSG00000268975	
DNLZ	1	ENSG00000213221	
RN7SL784P	1	ENSG00000264113	
SOWAHA	1	ENSG00000198944	
MIR2117HG	1	ENSG00000267151	
STOML2	1	ENSG00000165283	
STOML1	1	ENSG00000067221	
HLF	1	ENSG00000108924	
ABRAXAS1	1	ENSG00000163322	
LEF1	1	ENSG00000138795	
ETFDH	1	ENSG00000171503	
ABRAXAS2	1	ENSG00000165660	
CCL15-CCL14	1	ENSG00000275688	
RNF113A	1	ENSG00000125352	
PPP2R3C	1	ENSG00000092020	
HLX	1	ENSG00000136630	
LEPROTL1	1	ENSG00000104660	
PDIA3P1	1	ENSG00000180867	
TP73-AS1	1	ENSG00000227372	
PPP2R3B	1	ENSG00000167393	
PPP2R3A	1	ENSG00000073711	
WEE1	1	ENSG00000166483	
PPP2R2B	1	ENSG00000156475	
PPP2R2D	1	ENSG00000175470	
CKLF	1	ENSG00000217555	
MAPKBP1	1	ENSG00000137802	
CYBC1	1	ENSG00000178927	
PGAP1	1	ENSG00000197121	
PGAP2	1	ENSG00000148985	
PGAP3	1	ENSG00000161395	
SNORA8	1	ENSG00000207304	
EPB41L4A-AS1	1	ENSG00000224032	
USP46-AS1	1	ENSG00000248866	
PGAP6	1	ENSG00000129925	
SNRPEP4	1	ENSG00000233270	
CCBE1	1	ENSG00000183287	
MRTFB	1	ENSG00000186260	
MRTFA	1	ENSG00000196588	
HDHD5	1	ENSG00000069998	
PDZK1	1	ENSG00000174827	
HDHD2	1	ENSG00000167220	
HDHD3	1	ENSG00000119431	
CNBD2	1	ENSG00000149646	
ETHE1	1	ENSG00000105755	
UQCRC1	1	ENSG00000010256	
UQCRC2	1	ENSG00000140740	
NCBP2-AS1	1	ENSG00000225578	
HPD	1	ENSG00000158104	
ARF4-AS1	1	ENSG00000272146	
NYAP1	1	ENSG00000166924	
NCAPG	1	ENSG00000109805	
FABP5P3	1	ENSG00000241735	
FIGNL2	1	ENSG00000261308	
NYAP2	1	ENSG00000144460	
NCAPH	1	ENSG00000121152	
GIGYF2	1	ENSG00000204120	
HPX	1	ENSG00000110169	
FABP5P7	1	ENSG00000234964	
FIGNL1	1	ENSG00000132436	
RHBDL3	1	ENSG00000141314	
RHBDL2	1	ENSG00000158315	
RN7SL670P	1	ENSG00000264041	
RHBDL1	1	ENSG00000103269	
MYH7B	1	ENSG00000078814	
SNORD9	1	ENSG00000199436	
SNORD6	1	ENSG00000202314	
GPR15	1	ENSG00000154165	
EXOC6B	1	ENSG00000144036	
HRG	1	ENSG00000113905	
GPR18	1	ENSG00000125245	
GPR19	1	ENSG00000183150	
HRK	1	ENSG00000135116	
LRRC36	1	ENSG00000159708	
GPR27	1	ENSG00000170837	
GPR25	1	ENSG00000170128	
LRRC34	1	ENSG00000171757	
EEF1GP1	1	ENSG00000186676	
LRRC39	1	ENSG00000122477	
LRRC32	1	ENSG00000137507	
HSPB11	1	ENSG00000081870	
LETM2	1	ENSG00000165046	
LRRC37A4P	1	ENSG00000214425	
NKRF	1	ENSG00000186416	
SH3BGRL2	1	ENSG00000198478	
SH3BGRL3	1	ENSG00000142669	
CGNL1	1	ENSG00000128849	
LRRC47	1	ENSG00000130764	
ZEB2-AS1	1	ENSG00000238057	
LRRC45	1	ENSG00000169683	
LRRC46	1	ENSG00000141294	
SEMA3F-AS1	1	ENSG00000235016	
GPR34	1	ENSG00000171659	
GPR35	1	ENSG00000178623	
LRRC49	1	ENSG00000137821	
PGAM1	1	ENSG00000171314	
PGAM2	1	ENSG00000164708	
LRRC40	1	ENSG00000066557	
PTH2R	1	ENSG00000144407	
MANEAL	1	ENSG00000185090	
PTGR1	1	ENSG00000106853	
LRRC43	1	ENSG00000158113	
PTGR2	1	ENSG00000140043	
LRRC41	1	ENSG00000132128	
LRRC42	1	ENSG00000116212	
VAMP8	1	ENSG00000118640	
VAMP7	1	ENSG00000124333	
RPS18P12	1	ENSG00000230897	
CKS2	1	ENSG00000123975	
VN1R1	1	ENSG00000178201	
VAMP1	1	ENSG00000139190	
PGAM5	1	ENSG00000247077	
TIMM23B-AGAP6	1	ENSG00000178440	
VAMP4	1	ENSG00000117533	
VN1R5	1	ENSG00000197617	
VAMP5	1	ENSG00000168899	
LYPLAL1	1	ENSG00000143353	
VAMP2	1	ENSG00000220205	
VAMP3	1	ENSG00000049245	
LRRC14	1	ENSG00000160959	
KANK2	1	ENSG00000197256	
KANK1	1	ENSG00000107104	
ERVFRD-3	1	ENSG00000264801	
LRRC19	1	ENSG00000184434	
LRRC17	1	ENSG00000128606	
GPR42	1	ENSG00000126251	
HTT	1	ENSG00000197386	
PTGS2	1	ENSG00000073756	
PRAM1	1	ENSG00000133246	
PTGS1	1	ENSG00000095303	
EXTL2	1	ENSG00000162694	
SRPX2	1	ENSG00000102359	
MICALL1	1	ENSG00000100139	
AP2S1	1	ENSG00000042753	
MICALL2	1	ENSG00000164877	
LEO1	1	ENSG00000166477	
ANO10	1	ENSG00000160746	
PRAME	1	ENSG00000185686	
EXTL3	1	ENSG00000012232	
YKT6	1	ENSG00000106636	
SRSF10	1	ENSG00000188529	
SRSF11	1	ENSG00000116754	
NKTR	1	ENSG00000114857	
SRSF12	1	ENSG00000154548	
LRRC25	1	ENSG00000175489	
LRRC23	1	ENSG00000010626	
MRPL35P3	1	ENSG00000226253	
LRRC24	1	ENSG00000254402	
LRRC29	1	ENSG00000125122	
ANKRD30BL	1	ENSG00000163046	
SMAGP	1	ENSG00000170545	
LRRC27	1	ENSG00000148814	
GPR55	1	ENSG00000135898	
LRRC28	1	ENSG00000168904	
GPR52	1	ENSG00000203737	
LRRC20	1	ENSG00000172731	
LETM1	1	ENSG00000168924	
SUGT1P4-STRA6LP	1	ENSG00000254876	
HSD17B7P2	1	ENSG00000099251	
GPR68	1	ENSG00000119714	
GPR65	1	ENSG00000140030	
GPR63	1	ENSG00000112218	
CRAMP1	1	ENSG00000007545	
LRRC70	1	ENSG00000186105	
LCNL1	1	ENSG00000214402	
CARD8-AS1	1	ENSG00000268001	
LEPR	1	ENSG00000116678	
SH2D6	1	ENSG00000152292	
SH2D5	1	ENSG00000189410	
AP2M1	1	ENSG00000161203	
SH3GLB1	1	ENSG00000097033	
SH3GLB2	1	ENSG00000148341	
IGHV5-51	1	ENSG00000211966	
SLC38A1	1	ENSG00000111371	
ANAPC7	1	ENSG00000196510	
ILF3-DT	1	ENSG00000267100	
N4BP2L2-IT2	1	ENSG00000281026	
AKR1E2	1	ENSG00000165568	
GPR75	1	ENSG00000119737	
SLC9B1	1	ENSG00000164037	
SLC9B2	1	ENSG00000164038	
SLC9A3	1	ENSG00000066230	
SLC9A4	1	ENSG00000180251	
SLC9A5	1	ENSG00000135740	
SLC9A6	1	ENSG00000198689	
SLC9A7	1	ENSG00000065923	
SLC9A8	1	ENSG00000197818	
MRTO4	1	ENSG00000053372	
SLC9A9	1	ENSG00000181804	
ANAPC4	1	ENSG00000053900	
ANAPC5	1	ENSG00000089053	
SNRNP200	1	ENSG00000144028	
ANAPC1	1	ENSG00000153107	
ANAPC2	1	ENSG00000176248	
KANK3	1	ENSG00000186994	
LRRC58	1	ENSG00000163428	
LRRC59	1	ENSG00000108829	
LRRC56	1	ENSG00000161328	
LRRC57	1	ENSG00000180979	
PLA2G4E-AS1	1	ENSG00000246740	
GPR85	1	ENSG00000164604	
GPR83	1	ENSG00000123901	
GPR84	1	ENSG00000139572	
MAP3K2-DT	1	ENSG00000236682	
GPR82	1	ENSG00000171657	
SLC9A1	1	ENSG00000090020	
VDAC2P2	1	ENSG00000255776	
CRNDE	1	ENSG00000245694	
SLC38A7	1	ENSG00000103042	
SLC38A6	1	ENSG00000139974	
HYI	1	ENSG00000178922	
SLC38A9	1	ENSG00000177058	
SLC38A2	1	ENSG00000134294	
SLC38A5	1	ENSG00000017483	
PRKAG2-AS1	1	ENSG00000239911	
LRRC69	1	ENSG00000214954	
LRRC61	1	ENSG00000127399	
LRRC66	1	ENSG00000188993	
NFKB1	1	ENSG00000109320	
LRRC63	1	ENSG00000173988	
NFKB2	1	ENSG00000077150	
GNL3L	1	ENSG00000130119	
UBLCP1	1	ENSG00000164332	
AC027559.1	1	ENSG00000259658	
NUTM2A-AS1	1	ENSG00000223482	
NFE2L3	1	ENSG00000050344	
NFE2L1	1	ENSG00000082641	
NFE2L2	1	ENSG00000116044	
SLC25A1	1	ENSG00000100075	
ANO7L1	1	ENSG00000237276	
SLC25A3	1	ENSG00000075415	
PRAL	1	ENSG00000279296	
IQCH-AS1	1	ENSG00000259673	
FCGR3A	1	ENSG00000203747	
FCGR3B	1	ENSG00000162747	
ERC1	1	ENSG00000082805	
VBP1	1	ENSG00000155959	
VEZF1	1	ENSG00000136451	
GIGYF1	1	ENSG00000146830	
SLC25A5	1	ENSG00000005022	
SLC25A4	1	ENSG00000151729	
L3MBTL4	1	ENSG00000154655	
SLC25A6	1	ENSG00000169100	
ERAS	1	ENSG00000187682	
GTF3C1	1	ENSG00000077235	
GTF3C2	1	ENSG00000115207	
GTF3C3	1	ENSG00000119041	
GTF3C4	1	ENSG00000125484	
GTF3C5	1	ENSG00000148308	
GTF3C6	1	ENSG00000155115	
PRCD	1	ENSG00000214140	
PRCC	1	ENSG00000143294	
EIF4EP2	1	ENSG00000229944	
PRCP	1	ENSG00000137509	
SH3BP1	1	ENSG00000100092	
IFI16	1	ENSG00000163565	
SH3BP2	1	ENSG00000087266	
SH3BP5	1	ENSG00000131370	
LRRC8C	1	ENSG00000171488	
BEND3	1	ENSG00000178409	
SH3BP4	1	ENSG00000130147	
LRRC8D	1	ENSG00000171492	
BEND4	1	ENSG00000188848	
LRRC8A	1	ENSG00000136802	
D2HGDH	1	ENSG00000180902	
BEND2	1	ENSG00000177324	
LRRC8B	1	ENSG00000197147	
FCGR1A	1	ENSG00000150337	
BEND7	1	ENSG00000165626	
SH2B3	1	ENSG00000111252	
FCGR1B	1	ENSG00000198019	
SH2B2	1	ENSG00000160999	
BEND5	1	ENSG00000162373	
LRRC8E	1	ENSG00000171017	
BEND6	1	ENSG00000151917	
SH2B1	1	ENSG00000178188	
SLC12A2	1	ENSG00000064651	
CYB5B	1	ENSG00000103018	
SLC12A3	1	ENSG00000070915	
CYB5A	1	ENSG00000166347	
SLC12A4	1	ENSG00000124067	
SLC12A5	1	ENSG00000124140	
UPK1A-AS1	1	ENSG00000226510	
ERAP2	1	ENSG00000164308	
MBOAT7	1	ENSG00000125505	
ERAP1	1	ENSG00000164307	
MBOAT1	1	ENSG00000172197	
MBOAT2	1	ENSG00000143797	
RPL23A	1	ENSG00000198242	
FCGR2A	1	ENSG00000143226	
PRC1	1	ENSG00000198901	
FCGR2B	1	ENSG00000072694	
SMAP2	1	ENSG00000084070	
SMAP1	1	ENSG00000112305	
FCGR2C	1	ENSG00000244682	
VLDLR-AS1	1	ENSG00000236404	
SEC62-AS1	1	ENSG00000240373	
AHCYL2	1	ENSG00000158467	
AHCYL1	1	ENSG00000168710	
PREP	1	ENSG00000085377	
PRF1	1	ENSG00000180644	
KANTR	1	ENSG00000232593	
IFI35	1	ENSG00000068079	
ERFE	1	ENSG00000178752	
IFI30	1	ENSG00000216490	
LEXM	1	ENSG00000162398	
CCAR2	1	ENSG00000158941	
CCAR1	1	ENSG00000060339	
ERFL	1	ENSG00000268041	
SLC12A6	1	ENSG00000140199	
ZNF790-AS1	1	ENSG00000267254	
SLC12A7	1	ENSG00000113504	
SLC12A8	1	ENSG00000221955	
SLC12A9	1	ENSG00000146828	
PAQR8	1	ENSG00000170915	
PAQR6	1	ENSG00000160781	
PAQR7	1	ENSG00000182749	
